Player,Pos,Year,Allstar
Yao Ming,C,2004,Yes
Steve Nash,G,2004,Yes
Dirk Nowitzki,PF,2004,Yes
Amar'e Stoudemire,FC,2004,Yes
Gilbert Arenas,G,2004,Yes
Vince Carter,SF,2004,Yes
Grant Hill,SF,2004,Yes
Zydrunas Ilgauskas,C,2004,Yes
Allen Iverson,G,2004,Yes
LeBron James,F,2004,Yes
Antawn Jamison,F,2004,Yes
Jermaine O'Neal,FC,2004,Yes
Shaquille O'Neal,C,2004,Yes
Paul Pierce,SF,2004,Yes
Dwyane Wade,SG,2004,Yes
Ben Wallace,FC,2004,Yes
Ray Allen,SG,2005,Yes
Elton Brand,PF,2005,Yes
Kobe Bryant,SG,2005,Yes
Tim Duncan,FC,2005,Yes
Kevin Garnett,PF,2005,Yes
Pau Gasol,FC,2005,Yes
Shawn Marion,F,2005,Yes
Tracy McGrady,GF,2005,Yes
Yao Ming,C,2005,Yes
Steve Nash,G,2005,Yes
Dirk Nowitzki,PF,2005,Yes
Tony Parker,G,2005,Yes
Gilbert Arenas,G,2005,Yes
Chauncey Billups,G,2005,Yes
Chris Bosh,PF,2005,Yes
Vince Carter,SF,2005,Yes
Richard Hamilton,SG,2005,Yes
Allen Iverson,G,2005,Yes
LeBron James,F,2005,Yes
Jermaine O'Neal,FC,2005,Yes
Shaquille O'Neal,C,2005,Yes
Paul Pierce,SF,2005,Yes
Dwyane Wade,SG,2005,Yes
Ben Wallace,FC,2005,Yes
Rasheed Wallace,FC,2005,Yes
Ray Allen,SG,2006,Yes
Carmelo Anthony,F,2006,Yes
Carlos Boozer,PF,2006,Yes
Kobe Bryant,SG,2006,Yes
Tim Duncan,FC,2006,Yes
Kevin Garnett,PF,2006,Yes
Josh Howard,GF,2006,Yes
Allen Iverson,G,2006,Yes
Shawn Marion,F,2006,Yes
Tracy McGrady,GF,2006,Yes
Yao Ming,C,2006,Yes
Steve Nash,G,2006,Yes
Dirk Nowitzki,PF,2006,Yes
Mehmet Okur,FC,2006,Yes
Tony Parker,G,2006,Yes
Amar'e Stoudemire,FC,2006,Yes
Gilbert Arenas,G,2006,Yes
Chauncey Billups,G,2006,Yes
Chris Bosh,PF,2006,Yes
Caron Butler,SF,2006,Yes
Vince Carter,SF,2006,Yes
Richard Hamilton,SG,2006,Yes
Dwight Howard,C,2006,Yes
LeBron James,F,2006,Yes
Joe Johnson,SG,2006,Yes
Jason Kidd,PG,2006,Yes
Jermaine O'Neal,FC,2006,Yes
Shaquille O'Neal,C,2006,Yes
Dwyane Wade,SG,2006,Yes
Carmelo Anthony,F,2007,Yes
Carlos Boozer,PF,2007,Yes
Kobe Bryant,SG,2007,Yes
Tim Duncan,FC,2007,Yes
Allen Iverson,G,2007,Yes
Yao Ming,C,2007,Yes
Steve Nash,G,2007,Yes
Dirk Nowitzki,PF,2007,Yes
Chris Paul,PG,2007,Yes
Brandon Roy,G,2007,Yes
Amar'e Stoudemire,FC,2007,Yes
David West,PF,2007,Yes
Ray Allen,SG,2007,Yes
Chauncey Billups,G,2007,Yes
Chris Bosh,PF,2007,Yes
Caron Butler,SF,2007,Yes
Kevin Garnett,PF,2007,Yes
Richard Hamilton,SG,2007,Yes
Dwight Howard,C,2007,Yes
LeBron James,F,2007,Yes
Antawn Jamison,F,2007,Yes
Joe Johnson,SG,2007,Yes
Jason Kidd,PG,2007,Yes
Paul Pierce,SF,2007,Yes
Dwyane Wade,SG,2007,Yes
Rasheed Wallace,FC,2007,Yes
Chauncey Billups,G,2008,Yes
Kobe Bryant,SG,2008,Yes
Tim Duncan,FC,2008,Yes
Pau Gasol,FC,2008,Yes
Yao Ming,C,2008,Yes
Dirk Nowitzki,PF,2008,Yes
Shaquille O'Neal,C,2008,Yes
Tony Parker,G,2008,Yes
Chris Paul,PG,2008,Yes
Brandon Roy,G,2008,Yes
Amar'e Stoudemire,FC,2008,Yes
David West,PF,2008,Yes
Ray Allen,SG,2008,Yes
Chris Bosh,PF,2008,Yes
Kevin Garnett,PF,2008,Yes
Danny Granger,GF,2008,Yes
Devin Harris,G,2008,Yes
Dwight Howard,C,2008,Yes
Allen Iverson,G,2008,Yes
LeBron James,F,2008,Yes
Joe Johnson,SG,2008,Yes
Rashard Lewis,F,2008,Yes
Jameer Nelson,G,2008,Yes
Paul Pierce,SF,2008,Yes
Dwyane Wade,SG,2008,Yes
Mo Williams,G,2008,Yes
Carmelo Anthony,F,2009,Yes
Chauncey Billups,G,2009,Yes
Kobe Bryant,SG,2009,Yes
Tim Duncan,FC,2009,Yes
Kevin Durant,SF,2009,Yes
Pau Gasol,FC,2009,Yes
Chris Kaman,C,2009,Yes
Jason Kidd,PG,2009,Yes
Steve Nash,G,2009,Yes
Dirk Nowitzki,PF,2009,Yes
Chris Paul,PG,2009,Yes
Zach Randolph,PF,2009,Yes
Brandon Roy,G,2009,Yes
Amar'e Stoudemire,FC,2009,Yes
Deron Williams,PG,2009,Yes
Chris Bosh,PF,2009,Yes
Kevin Garnett,PF,2009,Yes
Al Horford,FC,2009,Yes
Dwight Howard,C,2009,Yes
Allen Iverson,G,2009,Yes
LeBron James,F,2009,Yes
Joe Johnson,SG,2009,Yes
David Lee,FC,2009,Yes
Paul Pierce,SF,2009,Yes
Rajon Rondo,PG,2009,Yes
Derrick Rose,PG,2009,Yes
Dwyane Wade,SG,2009,Yes
Gerald Wallace,F,2009,Yes
Carmelo Anthony,F,2010,Yes
Kobe Bryant,SG,2010,Yes
Tim Duncan,FC,2010,Yes
Kevin Durant,SF,2010,Yes
Pau Gasol,FC,2010,Yes
Manu Ginobili,SG,2010,Yes
Blake Griffin,PF,2010,Yes
Kevin Love,FC,2010,Yes
Yao Ming,C,2010,Yes
Dirk Nowitzki,PF,2010,Yes
Chris Paul,PG,2010,Yes
Russell Westbrook,G,2010,Yes
Deron Williams,PG,2010,Yes
Ray Allen,SG,2010,Yes
Chris Bosh,PF,2010,Yes
Kevin Garnett,PF,2010,Yes
Al Horford,FC,2010,Yes
Dwight Howard,C,2010,Yes
LeBron James,F,2010,Yes
Joe Johnson,SG,2010,Yes
Paul Pierce,SF,2010,Yes
Rajon Rondo,PG,2010,Yes
Derrick Rose,PG,2010,Yes
Amar'e Stoudemire,FC,2010,Yes
Dwyane Wade,SG,2010,Yes
Carmelo Anthony,F,2011,Yes
Chris Bosh,PF,2011,Yes
Luol Deng,GF,2011,Yes
Roy Hibbert,C,2011,Yes
Dwight Howard,C,2011,Yes
Andre Iguodala,SF,2011,Yes
LeBron James,F,2011,Yes
Joe Johnson,SG,2011,Yes
Paul Pierce,SF,2011,Yes
Rajon Rondo,PG,2011,Yes
Derrick Rose,PG,2011,Yes
Dwyane Wade,SG,2011,Yes
Deron Williams,PG,2011,Yes
LaMarcus Aldridge,FC,2011,Yes
Kobe Bryant,SG,2011,Yes
Andrew Bynum,C,2011,Yes
Kevin Durant,SF,2011,Yes
Marc Gasol,C,2011,Yes
Blake Griffin,PF,2011,Yes
Kevin Love,FC,2011,Yes
Steve Nash,G,2011,Yes
Dirk Nowitzki,PF,2011,Yes
Tony Parker,G,2011,Yes
Chris Paul,PG,2011,Yes
Russell Westbrook,G,2011,Yes
LaMarcus Aldridge,FC,2012,Yes
Kobe Bryant,SG,2012,Yes
Tim Duncan,FC,2012,Yes
Kevin Durant,SF,2012,Yes
Blake Griffin,PF,2012,Yes
James Harden,SG,2012,Yes
Dwight Howard,C,2012,Yes
David Lee,FC,2012,Yes
Tony Parker,G,2012,Yes
Chris Paul,PG,2012,Yes
Zach Randolph,PF,2012,Yes
Russell Westbrook,G,2012,Yes
Carmelo Anthony,F,2012,Yes
Chris Bosh,PF,2012,Yes
Tyson Chandler,C,2012,Yes
Luol Deng,GF,2012,Yes
Kevin Garnett,PF,2012,Yes
Paul George,GF,2012,Yes
Jrue Holiday,G,2012,Yes
Kyrie Irving,G,2012,Yes
LeBron James,F,2012,Yes
Brook Lopez,C,2012,Yes
Joakim Noah,FC,2012,Yes
Rajon Rondo,PG,2012,Yes
Dwyane Wade,SG,2012,Yes
LaMarcus Aldridge,FC,2013,Yes
Kobe Bryant,SG,2013,Yes
Stephen Curry,G,2013,Yes
Anthony Davis,PF,2013,Yes
Kevin Durant,SF,2013,Yes
Blake Griffin,PF,2013,Yes
James Harden,SG,2013,Yes
Dwight Howard,C,2013,Yes
Damian Lillard,G,2013,Yes
Kevin Love,FC,2013,Yes
Dirk Nowitzki,PF,2013,Yes
Tony Parker,G,2013,Yes
Chris Paul,PG,2013,Yes
Carmelo Anthony,F,2013,Yes
Chris Bosh,PF,2013,Yes
DeMar DeRozan,GF,2013,Yes
Paul George,GF,2013,Yes
Roy Hibbert,C,2013,Yes
Kyrie Irving,G,2013,Yes
LeBron James,F,2013,Yes
Joe Johnson,SG,2013,Yes
Paul Millsap,FC,2013,Yes
Joakim Noah,FC,2013,Yes
Dwyane Wade,SG,2013,Yes
John Wall,PG,2013,Yes
Carmelo Anthony,F,2014,Yes
Chris Bosh,PF,2014,Yes
Jimmy Butler,GF,2014,Yes
Pau Gasol,FC,2014,Yes
Al Horford,FC,2014,Yes
Kyrie Irving,G,2014,Yes
LeBron James,F,2014,Yes
Kyle Korver,SF,2014,Yes
Kyle Lowry,PG,2014,Yes
Paul Millsap,FC,2014,Yes
Jeff Teague,PG,2014,Yes
Dwyane Wade,SG,2014,Yes
John Wall,PG,2014,Yes
LaMarcus Aldridge,FC,2014,Yes
Kobe Bryant,SG,2014,Yes
DeMarcus Cousins,C,2014,Yes
Stephen Curry,G,2014,Yes
Anthony Davis,PF,2014,Yes
Tim Duncan,FC,2014,Yes
Kevin Durant,SF,2014,Yes
Marc Gasol,C,2014,Yes
Blake Griffin,PF,2014,Yes
James Harden,SG,2014,Yes
Damian Lillard,G,2014,Yes
Dirk Nowitzki,PF,2014,Yes
Chris Paul,PG,2014,Yes
Klay Thompson,G,2014,Yes
Russell Westbrook,G,2014,Yes
Carmelo Anthony,F,2015,Yes
Chris Bosh,PF,2015,Yes
Jimmy Butler,GF,2015,Yes
DeMar DeRozan,GF,2015,Yes
Andre Drummond,C,2015,Yes
Pau Gasol,FC,2015,Yes
Paul George,GF,2015,Yes
Al Horford,FC,2015,Yes
LeBron James,F,2015,Yes
Kyle Lowry,PG,2015,Yes
Paul Millsap,FC,2015,Yes
Isaiah Thomas,PG,2015,Yes
Dwyane Wade,SG,2015,Yes
John Wall,PG,2015,Yes
LaMarcus Aldridge,FC,2015,Yes
Kobe Bryant,SG,2015,Yes
DeMarcus Cousins,C,2015,Yes
Stephen Curry,G,2015,Yes
Anthony Davis,PF,2015,Yes
Kevin Durant,SF,2015,Yes
Draymond Green,F,2015,Yes
James Harden,SG,2015,Yes
Kawhi Leonard,F,2015,Yes
Chris Paul,PG,2015,Yes
Klay Thompson,G,2015,Yes
Russell Westbrook,G,2015,Yes
DeMarcus Cousins,C,2016,Yes
Stephen Curry,G,2016,Yes
Anthony Davis,PF,2016,Yes
Kevin Durant,SF,2016,Yes
Marc Gasol,C,2016,Yes
Draymond Green,F,2016,Yes
James Harden,SG,2016,Yes
Gordon Hayward,GF,2016,Yes
DeAndre Jordan,C,2016,Yes
Kawhi Leonard,F,2016,Yes
Klay Thompson,G,2016,Yes
Russell Westbrook,G,2016,Yes
Giannis Antetokounmpo,F,2016,Yes
Carmelo Anthony,F,2016,Yes
Jimmy Butler,GF,2016,Yes
DeMar DeRozan,GF,2016,Yes
Paul George,GF,2016,Yes
Kyrie Irving,G,2016,Yes
LeBron James,F,2016,Yes
Kevin Love,FC,2016,Yes
Kyle Lowry,PG,2016,Yes
Paul Millsap,FC,2016,Yes
Isaiah Thomas,PG,2016,Yes
Kemba Walker,G,2016,Yes
John Wall,PG,2016,Yes
Giannis Antetokounmpo,F,2017,Yes
Jimmy Butler,GF,2017,Yes
Stephen Curry,G,2017,Yes
DeMar DeRozan,GF,2017,Yes
Joel Embiid,C,2017,Yes
Draymond Green,F,2017,Yes
James Harden,SG,2017,Yes
Al Horford,FC,2017,Yes
Damian Lillard,G,2017,Yes
Kyle Lowry,PG,2017,Yes
Klay Thompson,G,2017,Yes
Karl-Anthony Towns,C,2017,Yes
LaMarcus Aldridge,FC,2017,Yes
Bradley Beal,SG,2017,Yes
DeMarcus Cousins,C,2017,Yes
Anthony Davis,PF,2017,Yes
Goran Dragic,G,2017,Yes
Andre Drummond,C,2017,Yes
Kevin Durant,SF,2017,Yes
Paul George,GF,2017,Yes
Kyrie Irving,G,2017,Yes
LeBron James,F,2017,Yes
Kevin Love,FC,2017,Yes
Victor Oladipo,G,2017,Yes
Kristaps Porzingis,FC,2017,Yes
Kemba Walker,G,2017,Yes
John Wall,PG,2017,Yes
Russell Westbrook,G,2017,Yes
LaMarcus Aldridge,FC,2018,Yes
Bradley Beal,SG,2018,Yes
Anthony Davis,PF,2018,Yes
Kevin Durant,SF,2018,Yes
James Harden,SG,2018,Yes
Kyrie Irving,G,2018,Yes
LeBron James,F,2018,Yes
Kawhi Leonard,F,2018,Yes
Damian Lillard,G,2018,Yes
Ben Simmons,PF,2018,Yes
Klay Thompson,G,2018,Yes
Karl-Anthony Towns,C,2018,Yes
Dwyane Wade,SG,2018,Yes
Giannis Antetokounmpo,F,2018,Yes
Stephen Curry,G,2018,Yes
Joel Embiid,C,2018,Yes
Paul George,GF,2018,Yes
Blake Griffin,PF,2018,Yes
Nikola Jokic,C,2018,Yes
Kyle Lowry,PG,2018,Yes
Khris Middleton,SF,2018,Yes
Dirk Nowitzki,PF,2018,Yes
Victor Oladipo,G,2018,Yes
D'Angelo Russell,SG,2018,Yes
Nikola Vucevic,PF,2018,Yes
Kemba Walker,G,2018,Yes
Russell Westbrook,G,2018,Yes
Devin Booker,SG,2019,Yes
Anthony Davis,PF,2019,Yes
Luka Doncic,SF,2019,Yes
James Harden,SG,2019,Yes
LeBron James,F,2019,Yes
Nikola Jokic,C,2019,Yes
Kawhi Leonard,F,2019,Yes
Damian Lillard,G,2019,Yes
Chris Paul,PG,2019,Yes
Domantas Sabonis,PF,2019,Yes
Ben Simmons,PF,2019,Yes
Jayson Tatum,SF,2019,Yes
Russell Westbrook,G,2019,Yes
Bam Adebayo,C,2019,Yes
Giannis Antetokounmpo,F,2019,Yes
Jimmy Butler,GF,2019,Yes
Joel Embiid,C,2019,Yes
Rudy Gobert,C,2019,Yes
Brandon Ingram,SF,2019,Yes
Kyle Lowry,PG,2019,Yes
Khris Middleton,SF,2019,Yes
Donovan Mitchell,SG,2019,Yes
Pascal Siakam,F,2019,Yes
Kemba Walker,G,2019,Yes
Trae Young,PG,2019,Yes
Bradley Beal,SG,2020,Yes
Devin Booker,SG,2020,Yes
Mike Conley,PG,2020,Yes
Kevin Durant,SF,2020,Yes
Joel Embiid,C,2020,Yes
James Harden,SG,2020,Yes
Kyrie Irving,G,2020,Yes
Zach LaVine,SG,2020,Yes
Kawhi Leonard,F,2020,Yes
Donovan Mitchell,SG,2020,Yes
Julius Randle,PF,2020,Yes
Jayson Tatum,SF,2020,Yes
Nikola Vucevic,PF,2020,Yes
Zion Williamson,PF,2020,Yes
Giannis Antetokounmpo,F,2020,Yes
Jaylen Brown,SF,2020,Yes
Stephen Curry,G,2020,Yes
Anthony Davis,PF,2020,Yes
Luka Doncic,SF,2020,Yes
Paul George,GF,2020,Yes
Rudy Gobert,C,2020,Yes
LeBron James,F,2020,Yes
Nikola Jokic,C,2020,Yes
Damian Lillard,G,2020,Yes
Chris Paul,PG,2020,Yes
Domantas Sabonis,PF,2020,Yes
Ben Simmons,PF,2020,Yes
Jarrett Allen,C,2021,Yes
Giannis Antetokounmpo,F,2021,Yes
Jimmy Butler,GF,2021,Yes
Stephen Curry,G,2021,Yes
DeMar DeRozan,GF,2021,Yes
Luka Doncic,SF,2021,Yes
Darius Garland,G,2021,Yes
Draymond Green,F,2021,Yes
James Harden,SG,2021,Yes
LeBron James,F,2021,Yes
Nikola Jokic,C,2021,Yes
Donovan Mitchell,SG,2021,Yes
Chris Paul,PG,2021,Yes
Fred VanVleet,G,2021,Yes
LaMelo Ball,G,2021,Yes
Devin Booker,SG,2021,Yes
Kevin Durant,SF,2021,Yes
Joel Embiid,C,2021,Yes
Rudy Gobert,C,2021,Yes
Zach LaVine,SG,2021,Yes
Khris Middleton,SF,2021,Yes
Ja Morant,G,2021,Yes
Dejounte Murray,SG,2021,Yes
Jayson Tatum,SF,2021,Yes
Karl-Anthony Towns,C,2021,Yes
Andrew Wiggins,F,2021,Yes
Trae Young,PG,2021,Yes
